ticker,status,windows,oos_mean_return,oos_median_return,oos_max_dd,oos_mean_sharpe,is_mean_return,has_overfitting_warning,counter_trend_multiplier,gates,rows
AKBNK.IS,OK,7,3.8829,0.0,-4.2714,27.6243,29.6443,True,0.0,ON,753
ARCLK.IS,OK,7,-2.9557,-2.4,-5.93,-0.4671,-9.0643,False,0.0,ON,753
ASELS.IS,OK,7,8.9686,10.21,-8.2343,29.7843,34.2329,True,0.0,ON,753
ASTOR.IS,OK,7,8.6286,3.38,-8.7371,1.3286,0.5214,False,0.0,ON,753
BIMAS.IS,OK,8,-1.6838,-0.075,-7.535,-7.7037,2.9938,True,0.0,ON,756
EKGYO.IS,OK,7,4.2186,9.52,-8.8514,-71.3929,6.8729,False,0.0,ON,753
ENKAI.IS,OK,7,1.1557,-1.41,-9.4514,-2.68,11.1657,True,0.0,ON,753
EREGL.IS,OK,7,0.6986,-3.24,-8.5329,-23.0286,4.9171,True,0.0,ON,754
FROTO.IS,OK,7,-2.7129,-3.63,-7.8114,-11.33,-0.3486,False,0.0,ON,754
GARAN.IS,OK,7,2.3086,3.71,-7.5543,0.0743,24.0714,True,0.0,ON,753
GUBRF.IS,OK,7,1.1843,0.0,-8.27,-2.8571,3.59,True,0.0,ON,753
HEKTS.IS,OK,7,-5.8186,-3.71,-17.6957,-20.4329,-15.8029,False,0.0,ON,753
ISCTR.IS,OK,7,1.1357,0.63,-7.6957,-1.4029,31.2643,True,0.0,ON,753
KCHOL.IS,OK,7,-1.9357,-7.05,-8.5886,-59.6871,2.59,True,0.0,ON,753
KONTR.IS,OK,7,-17.39,-10.0,-23.4114,-12.2943,-20.8229,False,0.0,ON,754
KOZAA.IS,INSUFFICIENT_DATA,0,,,,,,False,0.0,ON,0
KOZAL.IS,INSUFFICIENT_DATA,0,,,,,,False,0.0,ON,0
KRDMD.IS,OK,7,0.6386,3.77,-10.2771,-5.1143,-0.78,False,0.0,ON,753
ODAS.IS,OK,7,-0.4786,-2.07,-7.7629,-56.8,-16.1557,False,0.0,ON,753
OYAKC.IS,OK,7,-0.5914,-3.7,-7.8243,-7.9443,-2.4229,False,0.0,ON,754
PETKM.IS,OK,7,2.8029,5.18,-6.2571,-3.8686,-7.1314,False,0.0,ON,753
PGSUS.IS,OK,7,-6.8071,-5.35,-9.7929,-88.2886,-10.2586,False,0.0,ON,754
SAHOL.IS,OK,7,-1.9857,-4.46,-7.5729,1.65,47.3657,True,0.0,ON,753
SASA.IS,OK,7,2.2257,0.0,-7.9486,-11.9257,-6.9257,False,0.0,ON,754
SISE.IS,OK,7,2.49,7.77,-6.7586,-97.6986,0.4971,False,0.0,ON,753
TAVHL.IS,OK,7,3.6757,4.24,-7.4971,4.0943,29.6429,True,0.0,ON,753
TCELL.IS,OK,7,0.29,0.0,-5.8971,-0.7171,0.2,False,0.0,ON,753
THYAO.IS,OK,7,-2.0743,-3.91,-7.7686,-16.6329,-3.4357,False,0.0,ON,753
TOASO.IS,OK,7,3.7943,1.22,-5.7486,4.44,17.0529,True,0.0,ON,753
TUPRS.IS,OK,7,5.3871,3.48,-5.34,-6.9486,16.7757,True,0.0,ON,753
